dataset,k,alpha,method,cost,cost_dev,time,time_dev,ari,ari_dev,nmi,nmi_dev
mnist,10,0.2,kmeans++,1971490.5,0,0,0,
mnist,10,0.2,Algo1,1237653.2586904704,1693.8169342315782,0.3428532838821411,0.8387535279204595
mnist,10,0.2,Det,1224684.8829743487,0.0,0.13556282520294188,0.26495300069203837
mnist,10,0.2,Ours,1228583.697219377,1029.4032247410419,0.08599293231964111,0.1170057478254999
mnist,10,0.2,Ours1,1203272.143218393,2406.1869384495153,0.9138896942138672,2.703698466501975
mnist,10,0.2,Ours2,1228433.5469809468,2222.2803346068604,0.9343352079391479,0.4614800039052121
mnist,10,0.2,OPT,1187820.218218053,0,0,0
mnist,20,0.2,kmeans++,1555334.1,0,0,0
mnist,20,0.2,Algo1,1021755.6344987651,1049.6384339210965,0.08063762187957764,0.0015264275467887277
mnist,20,0.2,Det,1005007.0018396111,1.1641532182693481e-10,0.05645797252655029,0.0008592095029784756
mnist,20,0.2,Ours,1009070.649377058,1254.9763754675773,0.058132362365722653,0.0015608751104436685
mnist,20,0.2,Ours1,974661.9543531479,1485.887412926065,0.018213915824890136,0.0010486502786665566
mnist,20,0.2,Ours2,1010871.3199424691,1542.5873213508419,1.4169378995895385,0.017439455449359997
mnist,20,0.2,OPT,956596.1841631391,0,0,0
mnist,30,0.2,kmeans++,1339980.7,0,0,0
mnist,30,0.2,Algo1,914100.1458700562,1730.6973502348235,0.09948489665985108,0.0013882137405830312
mnist,30,0.2,Det,890226.2324593015,1.1641532182693481e-10,0.06642427444458007,0.0014823591826817852
mnist,30,0.2,Ours,894854.0719618018,2026.208059680364,0.06953954696655273,0.0013650082361782927
mnist,30,0.2,Ours1,860988.7897383934,2157.975586751453,0.02299494743347168,0.0010417560158385059
mnist,30,0.2,Ours2,898153.6724671681,1240.6107445529638,2.0291796207427977,0.021988000094643356
mnist,30,0.2,OPT,846561.42424016,0,0,0
mnist,40,0.2,kmeans++,1212153.9,0,0,0
mnist,40,0.2,Algo1,846023.9706846001,1856.352091568417,0.11337082386016846,0.001729153368005359
mnist,40,0.2,Det,820382.2493978885,0.0,0.07420549392700196,0.0012580763776321906
mnist,40,0.2,Ours,824394.1650645575,1372.783463508717,0.08002974987030029,0.0012976454043947564
mnist,40,0.2,Ours1,794569.5289404263,2123.701264607207,0.026074886322021484,0.0010120436262636458
mnist,40,0.2,Ours2,827506.2740011964,1714.2627606767026,2.5660463094711305,0.021096176258462877
mnist,40,0.2,OPT,776124.5987536974,0,0,0
mnist,50,0.2,kmeans++,1119835.6,0,0,0
mnist,50,0.2,Algo1,797671.5008892787,1418.3077956628324,0.12982504367828368,0.0017431489017091018
mnist,50,0.2,Det,766811.967620193,0.0,0.0830035924911499,0.001241501191206775
mnist,50,0.2,Ours,772117.4140540692,904.6550948574413,0.09085161685943603,0.000975842881594873
mnist,50,0.2,Ours1,741348.6710893654,2754.049577098223,0.030619192123413085,0.000790477335102289
mnist,50,0.2,Ours2,774614.2247499356,1195.3377947131764,3.1485815763473513,0.031096821540707382
mnist,50,0.2,OPT,722935.8434831507,0,0,0
phy,10,0.2,kmeans++,1389575865923.2642,0,0,0
phy,10,0.2,Algo1,1072379073989.6732,2092026056.8540819,1.8326014757156373,0.2764204367392095
phy,10,0.2,Det,1050849259783.2164,0.0001220703125,1.8624215602874756,0.27687452436804894
phy,10,0.2,Ours,1086214197227.0344,15220761241.124037,1.8677180528640747,0.27485160710386813
phy,10,0.2,Ours1,1050335186478.0596,2478360337.990993,0.4784242153167725,0.07130675608696371
phy,10,0.2,Ours2,1057233854936.4377,4146075744.087147,2.799294090270996,0.5452303872097192
phy,10,0.2,OPT,1042048689812.7374,0,0,0
phy,20,0.2,kmeans++,433802903065.5152,0,0,0
phy,20,0.2,Algo1,314540158597.4727,625091011.0048536,1.7642997741699218,0.03729673649583705
phy,20,0.2,Det,312318392680.0851,6.103515625e-05,1.6688981533050538,0.026519611254383804
phy,20,0.2,Ours,331082205642.46356,5377312047.156449,1.6810937643051147,0.03319758602034223
phy,20,0.2,Ours1,306266907025.5798,510863077.3688117,0.49822206497192384,0.02556219475317118
phy,20,0.2,Ours2,311327829017.2963,684077405.6074617,3.972523593902588,0.09652468026583849
phy,20,0.2,OPT,302574961693.7085,0,0,0
phy,30,0.2,kmeans++,244866055836.2958,0,0,0
phy,30,0.2,Algo1,178332222048.75238,229896359.40349418,1.8245507955551148,0.03968968184269158
phy,30,0.2,Det,173967240670.98114,0.0,1.657034969329834,0.04303633456840127
phy,30,0.2,Ours,189132619408.31943,5112479302.635878,1.6596526622772216,0.03339684661722531
phy,30,0.2,Ours1,168508066453.41757,46010119.68579156,0.4391702890396118,0.024473074374206472
phy,30,0.2,Ours2,173074718117.83258,140634376.5024212,5.665325593948364,0.13718813593462284
phy,30,0.2,OPT,167654844290.07016,0,0,0
phy,40,0.2,kmeans++,175763859064.44357,0,0,0
phy,40,0.2,Algo1,129959197695.2721,122677506.13482793,1.7402616024017334,0.04275969135552292
phy,40,0.2,Det,126731921325.08846,0.0,1.516984224319458,0.024548974286389316
phy,40,0.2,Ours,137479134958.04483,3601927996.9644413,1.51963210105896,0.024845079047591454
phy,40,0.2,Ours1,120466543689.2535,95531117.21187417,0.251127290725708,0.01086917934126144
phy,40,0.2,Ours2,125720887812.05167,110778376.56351061,6.3578403234481815,0.2336325345261048
phy,40,0.2,OPT,119309293220.57387,0,0,0
phy,50,0.2,kmeans++,144107733912.74158,0,0,0
phy,50,0.2,Algo1,115374172077.99886,471785310.11845374,1.8176178693771363,0.07947360972072065
phy,50,0.2,Det,111758740280.09116,0.0,1.53360755443573,0.05861593495851744
phy,50,0.2,Ours,122064486147.33186,2937135134.383373,1.532449722290039,0.0585762087846455
phy,50,0.2,Ours1,105658673596.9305,80887092.99208513,0.2702646732330322,0.023007501384202555
phy,50,0.2,Ours2,110396590491.42485,114565464.72972392,7.191590690612793,0.44985902637916375
phy,50,0.2,OPT,104388807645.81131,0,0,0
